wjsample,wjsample-time
121138.0,0.596
212040.0,0.545
5691.0,0.208
338872.0,0.58
4487285.0,0.535
79089.0,0.24
613162.0,0.577
32614.0,0.195
74142.0,0.191
118067.0,0.799
13415.0,0.835
23482.0,0.868
630.0,0.54
21069673.0,1.065
36880402.0,1.168
12021.0,0.49
4190619.0,1.047
4957.0,0.541
11269.0,0.483
-1.0,-1.0
68891.0,0.472
156611.0,0.493
64582.0,0.493
2333370.0,1.386
4084297.0,1.545
1331.0,0.693
464088.0,1.47
549.0,0.662
1248.0,0.659
-1.0,-1.0
10471.0,1.03
23804.0,1.124
9816.0,1.061
136417.0,1.184
-1.0,-1.0
1159.0,1.425
2636.0,1.525
1087.0,1.479
20735.0,2.243
2295.0,3.076
174305.0,0.213
51772.0,0.565
1386190.0,0.569
11102.0,0.182
328064.0,0.161
3131950.0,0.52
87906.0,0.189
214845.0,0.546
77532.0,0.19
51772.0,0.571
1386190.0,0.686
5935402.0,0.855
166592.0,0.418
907800.0,1.265
39599.0,0.624
378043.0,0.78
10611.0,0.36
11171175.0,0.776
313547.0,0.378
174070.0,0.522
167321.0,1.357
716435.0,1.388
20109.0,0.954
21507603.0,1.451
594208.0,0.776
329883.0,0.727
1348421.0,1.321
37848.0,0.742
21012.0,0.668
620881.0,0.782
2555412.0,2.638
71726.0,1.718
39820.0,1.306
1176642.0,1.303
74946.0,1.193
142031.0,2.52
24048.0,0.218
45242.0,0.566
1086415.0,0.599
1372.0,0.204
36359.0,0.184
437463.0,0.521
11797.0,0.192
150817.0,0.585
74489.0,0.187
6319.0,0.596
151748.0,0.648
818889.0,0.877
22083.0,0.443
629451.0,1.32
3883.0,0.641
46716.0,0.871
1260.0,0.392
1238088.0,0.807
33387.0,0.401
23360.0,0.499
16205.0,1.411
87448.0,1.405
2358.0,0.869
2354465.0,1.426
62498.0,0.839
43728.0,0.83
132215.0,1.358
3566.0,0.78
2495.0,0.678
66112.0,0.673
247492.0,2.846
6673.0,1.672
4669.0,1.253
123758.0,1.523
7061.0,1.223
13214.0,2.46
470.0,0.216
2373.0,0.547
63534.0,0.555
653.0,0.204
19289.0,0.183
184152.0,0.563
5323.0,0.199
214845.0,0.596
79851.0,0.191
140.0,0.602
3736.0,0.579
15995.0,0.893
462.0,0.511
41608.0,1.284
2328.0,0.583
22228.0,0.821
643.0,0.371
656842.0,0.908
18986.0,0.392
10541.0,0.531
451.0,1.307
1930.0,1.372
56.0,0.798
57961.0,1.408
1648.0,0.787
915.0,0.762
79284.0,1.302
2293.0,0.74
1273.0,0.674
37596.0,0.69
6885.0,2.596
200.0,1.578
111.0,1.263
3263.0,1.154
4541.0,1.252
396.0,2.366
62116.0,0.184
35579.0,0.567
5122.0,0.614
4515.0,0.212
717.0,0.226
1438280.0,0.504
37082.0,0.218
906.0,0.583
71219.0,0.174
16339.0,0.586
2352.0,0.624
2115152.0,1.071
54533.0,0.492
2971.0,1.327
77.0,0.573
153749.0,0.848
3964.0,0.397
24426.0,0.819
630.0,0.417
73429.0,0.587
251.0,1.327
226104.0,1.496
5829.0,0.834
36493.0,1.501
926.0,0.816
107985.0,0.729
2611.0,1.405
67.0,0.776
7849.0,0.718
1248.0,0.766
3840.0,2.524
99.0,1.59
11543.0,1.282
1834.0,1.277
133.0,1.207
196.0,2.418
1922.0,0.201
50047.0,0.547
778832.0,0.678
7862599.0,0.504
170912.0,0.192
120.0,0.19
3180.0,0.188
48776.0,0.565
35068.0,0.229
553.0,0.607
8612.0,0.679
86938.0,0.816
1890.0,0.398
224244.0,1.461
2263825.0,1.482
49210.0,0.869
35230001.0,1.362
765807.0,0.844
148636.0,0.477
376.0,0.621
1019.0,1.43
10289.0,1.311
224.0,0.872
271808.0,1.264
5909.0,0.804
1644.0,0.657
10143537.0,2.99
220512.0,1.729
42796.0,1.325
665996.0,1.262
32169.0,2.618
700.0,1.674
195.0,1.201
5139.0,1.217
191758.0,2.505
609.0,2.441
7047.0,0.208
39243.0,0.554
144802.0,0.591
6112754.0,0.518
126108.0,0.21
585.0,0.173
3667.0,0.178
12031.0,0.562
34035.0,0.182
2069.0,0.918
7636.0,0.597
